[2025-11-18 09:11:50] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-17
正在获取论文...
[arXiv] 2025-11-17 | Segment Anything Across Shots: A Method and Benchmark
[arXiv] 2025-11-17 | Pico-Cloud: Cloud Infrastructure for Tiny Edge Devices
[arXiv] 2025-11-17 | The Spontaneous Genesis of Solar Prominence Structures Driven by Supergranulation in Three-Dimensional Simulations
[arXiv] 2025-11-17 | Referring Camouflaged Object Detection With Multi-Context Overlapped Windows Cross-Attention
[arXiv] 2025-11-17 | A Secure Semantic Communication System Based on Knowledge Graph
[arXiv] 2025-11-17 | Dynamical Networking of Polymer Networks with Dedicated Cross-linker Particles
[arXiv] 2025-11-17 | Tfin Crypto: From Speculation to Optimization in Risk Managed Crypto Portfolio Allocation
[arXiv] 2025-11-17 | LLM-based Multi-Agent System for Simulating Strategic and Goal-Oriented Data Marketplaces
[arXiv] 2025-11-17 | Laplace Learning in Wasserstein Space
[arXiv] 2025-11-17 | Anomalous Higgs Couplings as a Window to New Physics
[arXiv] 2025-11-17 | Hybrid-Domain Adaptative Representation Learning for Gaze Estimation
[arXiv] 2025-11-17 | Likelihood-guided Regularization in Attention Based Models
[arXiv] 2025-11-17 | PIGEON: VLM-Driven Object Navigation via Points of Interest Selection
[arXiv] 2025-11-17 | A Price to Enter: Anticipatory Housing Market Sorting and Access Inequality under New York's Congestion Pricing
[arXiv] 2025-11-17 | ParaDySe: A Parallel-Strategy Switching Framework for Dynamic Sequence Lengths in Transformer
[arXiv] 2025-11-17 | Self-Supervised Ultrasound Screen Detection
[arXiv] 2025-11-17 | Cost-Effective Communication: An Auction-based Method for Language Agent Interaction
[arXiv] 2025-11-17 | Large Language Models Meet Extreme Multi-label Classification: Scaling and Multi-modal Framework
[arXiv] 2025-11-17 | Collision-Free Navigation of Mobile Robots via Quadtree-Based Model Predictive Control
[arXiv] 2025-11-17 | GenTract: Generative Global Tractography
[arXiv] 2025-11-17 | Linear independence of quantum translates
[arXiv] 2025-11-17 | Electroviscous effects in electrolyte liquid flow through an oppositely-charged contraction-expansion microfluidic slit device
[arXiv] 2025-11-17 | Infrared photometry and CaT spectroscopy of the most metal-poor in-situ globular cluster VVV-CL001
[arXiv] 2025-11-17 | Agent-Oriented Visual Programming for the Web of Things
[arXiv] 2025-11-17 | Nanolaser and logic gates on carbon nanotubes
[arXiv] 2025-11-17 | Skeletons Speak Louder than Text: A Motion-Aware Pretraining Paradigm for Video-Based Person Re-Identification
[arXiv] 2025-11-17 | Automated Road Distress Detection Using Vision Transformersand Generative Adversarial Networks
[arXiv] 2025-11-17 | Think with Self-Decoupling and Self-Verification: Automated RTL Design with Backtrack-ToT
[arXiv] 2025-11-17 | Soft Conflict-Resolution Decision Transformer for Offline Multi-Task Reinforcement Learning
[arXiv] 2025-11-17 | VEIL: Jailbreaking Text-to-Video Models via Visual Exploitation from Implicit Language
[arXiv] 2025-11-17 | The Impact of Phosphate Fertilizer Industry Consolidation on Future Phosphorus Supply for World Agriculture
[arXiv] 2025-11-17 | Carbon Reduction Potential and Sensitivity Analysis of Rural Integrated Energy System with Carbon Trading and Coordinated Electric-Thermal Demand Response
[arXiv] 2025-11-17 | Initial Excitation-based Adaptive Observers for Discrete-Time LTI Systems
[arXiv] 2025-11-17 | F.A.C.U.L.: Language-Based Interaction with AI Companions in Gaming
[arXiv] 2025-11-17 | Large-scale Multigrid with Adaptive Galerkin Coarsening
[arXiv] 2025-11-17 | Evaluating the Ability of Large Language Models to Identify Adherence to CONSORT Reporting Guidelines in Randomized Controlled Trials: A Methodological Evaluation Study
[arXiv] 2025-11-17 | BeDiscovER: The Benchmark of Discourse Understanding in the Era of Reasoning Language Models
[arXiv] 2025-11-17 | STEP: Success-Rate-Aware Trajectory-Efficient Policy Optimization
[arXiv] 2025-11-17 | Topological enhancement of a PT-symmetric Su-Schrieffer-Heeger quantum battery
[arXiv] 2025-11-17 | Electron Recoil via Sample Momentum Transfer under Optical Excitation
[arXiv] 2025-11-17 | Real-time prediction of breast cancer sites using deformation-aware graph neural network
[arXiv] 2025-11-17 | Rethinking Saliency Maps: A Cognitive Human Aligned Taxonomy and Evaluation Framework for Explanations
[arXiv] 2025-11-17 | FGNet: Leveraging Feature-Guided Attention to Refine SAM2 for 3D EM Neuron Segmentation
[arXiv] 2025-11-17 | MACKO: Sparse Matrix-Vector Multiplication for Low Sparsity
[arXiv] 2025-11-17 | Dimension vs. Precision: A Comparative Analysis of Autoencoders and Quantization for Efficient Vector Retrieval on BEIR SciFact
[arXiv] 2025-11-17 | ViSS-R1: Self-Supervised Reinforcement Video Reasoning
[arXiv] 2025-11-17 | Chiral Magnetic Effect induced Spectator Process for Leptogenesis
[arXiv] 2025-11-17 | Generalization Bounds for Semi-supervised Matrix Completion with Distributional Side Information
[arXiv] 2025-11-17 | The Influence of Neighborhood Design on the Sustainability of US Suburbs
[arXiv] 2025-11-17 | Fairness-Aware Graph Representation Learning with Limited Demographic Information
[arXiv] 2025-11-17 | Accuracy is Not Enough: Poisoning Interpretability in Federated Learning via Color Skew
[arXiv] 2025-11-17 | Measurement-based Dynamical Decoupling for Fidelity Preservation on Large-scale Quantum Processors
[arXiv] 2025-11-17 | Towards Affect-Adaptive Human-Robot Interaction: A Protocol for Multimodal Dataset Collection on Social Anxiety
[arXiv] 2025-11-17 | A Computationally Efficient Framework for Free-trajectory Minimum-lap-time Optimization of Racing Cars
[arXiv] 2025-11-17 | Probing scalar-neutrino and scalar-dark-matter interactions with PandaX-4T
[arXiv] 2025-11-17 | Naga: Vedic Encoding for Deep State Space Models
[arXiv] 2025-11-17 | Mapping the Vanishing and Transformation of Urban Villages in China
[arXiv] 2025-11-17 | Tight and Practical Privacy Auditing for Differentially Private In-Context Learning
[arXiv] 2025-11-17 | Sampling Density for Gabor Phase Retrieval
[arXiv] 2025-11-17 | Uniform Feasibility For Smoothed Backup Control Barrier Functions
[arXiv] 2025-11-17 | Topological transitions in swarmalators systems
[arXiv] 2025-11-17 | Multi-Agent Multimodal Large Language Model Framework for Automated Interpretation of Fuel Efficiency Analytics in Public Transportation
[arXiv] 2025-11-17 | Radial foliations in dimension three
[arXiv] 2025-11-17 | The asymptotically Schwarzschild-like metric solutions
[arXiv] 2025-11-17 | Multi-Objective Statistical Model Checking using Lightweight Strategy Sampling (extended version)
[arXiv] 2025-11-17 | Hardware optimization on Android for inference of AI models
[arXiv] 2025-11-17 | Collective decision-making with higher-order interactions on $d$-uniform hypergraphs
[arXiv] 2025-11-17 | Evaluation of Domain-Specific Architectures for General-Purpose Applications in Apple Silicon
[arXiv] 2025-11-17 | Shaping the Mantle: The Role of Superheated Cores After Giant Impacts
[arXiv] 2025-11-17 | Optical investigation of ultra-slow spin relaxation in $^{171}$Yb$^{3+}$:Y$_2$SiO$_5$ single crystals
[arXiv] 2025-11-17 | Emergent spectral geometry in the Coherence--Curvature Model
[arXiv] 2025-11-17 | On the uniqueness of continuous spacetime extensions in 1+1 dimensions with applications to weak null singularities
[arXiv] 2025-11-17 | PAST: A Primary-Auxiliary Spatio-Temporal Network for Traffic Time Series Imputation
[arXiv] 2025-11-17 | Robustness of Morse decomposition for non-local perturbations of the Chafee-Infante equation
[arXiv] 2025-11-17 | Regularity theory for degenerate fully nonlinear nonlocal equations with a Hamiltonian term
[arXiv] 2025-11-17 | Investigating magnetic activity cycles in solar-like oscillators using asteroseismic data from the K2 mission
[arXiv] 2025-11-17 | Cosmic Expansion Driven by Gravitational Particle Production: Toward a Complete Cosmological Scenario
[arXiv] 2025-11-17 | Uncovering Causal Drivers of Energy Efficiency for Industrial Process in Foundry via Time-Series Causal Inference
[arXiv] 2025-11-17 | Generalized Denoising Diffusion Codebook Models (gDDCM): Tokenizing images using a pre-trained diffusion model
[arXiv] 2025-11-17 | Diffraction induced quantum chaos in a one-dimensional Bose gas
[arXiv] 2025-11-17 | CBDC Stress Test in a Dual-Currency Setting
[arXiv] 2025-11-17 | Constraining the Neutral Hydrogen Fraction from SKA Simulated Observation using a Double-Gaussian Decomposition Technique
[arXiv] 2025-11-17 | Isogeometric fluid-structure interaction using a mixed continuous/discontinuous Galerkin scheme
[arXiv] 2025-11-17 | A small remark on small-dimensional normed barrelled spaces
[arXiv] 2025-11-17 | Semi-Supervised Multi-Task Learning for Interpretable Quality As- sessment of Fundus Images
[arXiv] 2025-11-17 | Floquet Recurrences in the Double Kicked Top
[arXiv] 2025-11-17 | Novel Tau-Informed Initialization for Maximum Likelihood Estimation of Copulas with Discrete Margins
[arXiv] 2025-11-17 | Basis Immunity: Isotropy as a Regularizer for Uncertainty
[arXiv] 2025-11-17 | TacEleven: generative tactic discovery for football open play
[arXiv] 2025-11-17 | A Bi-fidelity based asymptotic-preserving neural network for the semiconductor Boltzmann equation and its inverse problem
[arXiv] 2025-11-17 | Whistledown: Combining User-Level Privacy with Conversational Coherence in LLMs
[arXiv] 2025-11-17 | DAP: A Discrete-token Autoregressive Planner for Autonomous Driving
[arXiv] 2025-11-17 | Mitigating Recommendation Biases via Group-Alignment and Global-Uniformity in Representation Learning
[arXiv] 2025-11-17 | uCLIP: Parameter-Efficient Multilingual Extension of Vision-Language Models with Unpaired Data
[arXiv] 2025-11-17 | ZX-DB: A Graph Database for Quantum Circuit Simplification and Rewriting via the ZX-Calculus
[arXiv] 2025-11-17 | Geometry Meets Light: Leveraging Geometric Priors for Universal Photometric Stereo under Limited Multi-Illumination Cues
[arXiv] 2025-11-17 | Cooperative ISAC for LAE: Joint Trajectory Planning, Power allocation, and Dynamic Time Division
[arXiv] 2025-11-17 | Medal S: Spatio-Textual Prompt Model for Medical Segmentation
[arXiv] 2025-11-17 | Bayesian Variable Selection on Small Sample Trial Data via Adaptive Posterior-Informed Shrinkage Prior
[arXiv] 2025-11-17 | ArtiWorld: LLM-Driven Articulation of 3D Objects in Scenes
[arXiv] 2025-11-17 | Dynamics of stochastic microorganism flocculation models
[arXiv] 2025-11-17 | Esim: EVM Bytecode Similarity Detection Based on Stable-Semantic Graph
[arXiv] 2025-11-17 | HiFusion: Hierarchical Intra-Spot Alignment and Regional Context Fusion for Spatial Gene Expression Prediction from Histopathology
[arXiv] 2025-11-17 | Beyond Citations: A Cross-Domain Metric for Dataset Impact and Shareability
[arXiv] 2025-11-17 | ENGRAM: Effective, Lightweight Memory Orchestration for Conversational Agents
[arXiv] 2025-11-17 | Quantum decoherence signatures in charmless non-leptonic $B$ decays
[arXiv] 2025-11-17 | Transfer Learning and Locally Linear Regression for Locally Stationary Time Series
[arXiv] 2025-11-17 | Recurrent Autoregressive Diffusion: Global Memory Meets Local Attention
[arXiv] 2025-11-17 | Tokenize Once, Recommend Anywhere: Unified Item Tokenization for Multi-domain LLM-based Recommendation
[arXiv] 2025-11-17 | Auditing Google's AI Overviews and Featured Snippets: A Case Study on Baby Care and Pregnancy
[arXiv] 2025-11-17 | Quantitative blow-up suppression for the Patlak-Keller-Segel(-Navier-Stokes) system via Couette flow on $\mathbb{R}^2$
[arXiv] 2025-11-17 | DiffuDepGrasp: Diffusion-based Depth Noise Modeling Empowers Sim2Real Robotic Grasping
[arXiv] 2025-11-17 | Online Learning of HTN Methods for integrated LLM-HTN Planning
[arXiv] 2025-11-17 | Rethinking the filter bubble? Developing a research agenda for the protective filter bubble
[arXiv] 2025-11-17 | Video Finetuning Improves Reasoning Between Frames
[arXiv] 2025-11-17 | Affine Chord Sobolev Inequalities from Integral Geometry
[arXiv] 2025-11-17 | An approach of deep reinforcement learning for maximizing the net present value of stochastic projects
[arXiv] 2025-11-17 | Rethinking Data Value: Asymmetric Data Shapley for Structure-Aware Valuation in Data Markets and Machine Learning Pipelines
[arXiv] 2025-11-17 | Quasinormal ringing of a regular black hole sourced by the Dehnen-type distribution of matter
[arXiv] 2025-11-17 | Compact Schemes for $A^+B$, $A^+AB$ and $AA^+B$
[arXiv] 2025-11-17 | From Black-Box to White-Box: Control-Theoretic Neural Network Interpretability
[arXiv] 2025-11-17 | Identification-aware Markov chain Monte Carlo
[arXiv] 2025-11-17 | Scalable learning of macroscopic stochastic dynamics
[arXiv] 2025-11-17 | Cyclotomic integral points for affine dynamics
[arXiv] 2025-11-17 | A modulated nonlinear system: breathers and time crystals
[arXiv] 2025-11-17 | Learning Time-Scale Invariant Population-Level Neural Representations
[arXiv] 2025-11-17 | $t$-Young complexes and squarefree powers of $t$-path ideals
[arXiv] 2025-11-17 | Spin-orbit driven $J_{eff} = 1/2$ magnetism in a d$^7$ triangular-lattice monolayer cobaltate
[arXiv] 2025-11-17 | Ultra Low Overhead Syndrome Extraction for the Steane code
[arXiv] 2025-11-17 | PDRs4All XX. Haute Couture: Spectral stitching of JWST MIRI-IFU cubes with matrix completion
[arXiv] 2025-11-17 | EL3DD: Extended Latent 3D Diffusion for Language Conditioned Multitask Manipulation
[arXiv] 2025-11-17 | On the Charm Contribution to the Muon $g-2$ Light-by-Light
[arXiv] 2025-11-17 | Revealing the dynamic responses of Pb under shock loading based on DFT-accuracy machine learning potential
[arXiv] 2025-11-17 | Robust Defense Strategies for Multimodal Contrastive Learning: Efficient Fine-tuning Against Backdoor Attacks
[arXiv] 2025-11-17 | Making Evidence Actionable in Adaptive Learning Closing the Diagnostic Pedagogical Loop
[arXiv] 2025-11-17 | Effects of the Next-Nearest-Neighbor Hopping on the Low-Dimensional Hubbard Model: Ferromagnetism, Antiferromagnetism, and Superconductivity
[arXiv] 2025-11-17 | Minimax Multi-Target Conformal Prediction with Applications to Imaging Inverse Problems
[arXiv] 2025-11-17 | Rankwidth of Graphs with Balanced Separations: Expansion for Dense Graphs
[arXiv] 2025-11-17 | AI Fairness Beyond Complete Demographics: Current Achievements and Future Directions
[arXiv] 2025-11-17 | On the General Projective Theory of Matter and Gravitation
[arXiv] 2025-11-17 | Formation of HNC and HCN isomers in molecular plasmas revealed by frequency comb and quantum cascade laser spectroscopy
[arXiv] 2025-11-17 | Interpretable Ransomware Detection Using Hybrid Large Language Models: A Comparative Analysis of BERT, RoBERTa, and DeBERTa Through LIME and SHAP
[arXiv] 2025-11-17 | A High-Efficiency Microwave Power Combining System Based on Frequency-Tuning Injection-Locked Magnetrons
[arXiv] 2025-11-17 | Equivariant Banach-bundle germs
[arXiv] 2025-11-17 | Smoothed-Cubic Spin-Glass Model of Random Lasers
[arXiv] 2025-11-17 | Medium modification of the charge-weighted Energy-Energy Correlators in Pb+Pb collisions at $\sqrt{s_{NN}}=5.02$~TeV
[arXiv] 2025-11-17 | Language-Guided Invariance Probing of Vision-Language Models
[arXiv] 2025-11-17 | Tuning of Weyl point emergence in multi-terminal Josephson junctions using quantum point contacts
[arXiv] 2025-11-17 | Spin-Lattice Relaxation in Two-Dimensional Superconducting BKT Transition
[arXiv] 2025-11-17 | On cubic Blaschke products
[arXiv] 2025-11-17 | Ultrafast electron diffractive imaging of the dissociation of pre-excited molecules
[arXiv] 2025-11-17 | Higher Steklov eigenvalues of graphs on surfaces
[arXiv] 2025-11-17 | GREAT: Generalizable Representation Enhancement via Auxiliary Transformations for Zero-Shot Environmental Prediction
[arXiv] 2025-11-17 | Multi-task GINN-LP for Multi-target Symbolic Regression
[arXiv] 2025-11-17 | $D_{(s)}(2S)$ and $D^{*}_{(s)}(2S)$ production in nonleptonic $B_{(s)}$ weak decays
[arXiv] 2025-11-17 | Bounded solutions and interpolative gap bounds for degenerate parabolic double phase problems
[arXiv] 2025-11-17 | Probing parameters estimation with Gaussian non-commutative measurements
[arXiv] 2025-11-17 | Discovering Operational Patterns Using Image-Based Convolutional Clustering and Composite Evaluation: A Case Study in Foundry Melting Processes
[arXiv] 2025-11-17 | Decomposing Inequalities using Machine Learning and Overcoming Common Support Issues
[arXiv] 2025-11-17 | Symmetric harmoniousness of odd-order groups
[arXiv] 2025-11-17 | Exploring Multi-Table Retrieval Through Iterative Search
[arXiv] 2025-11-17 | Sharp barrier estimates for Bessel bridges
[arXiv] 2025-11-17 | Asymptotic stability and mean ergodicity of Feller processes on Polish spaces
[arXiv] 2025-11-17 | Descriptor: Distance-Annotated Traffic Perception Question Answering (DTPQA)
[arXiv] 2025-11-17 | Block Structure Preserving Model Order Reduction for A-EFIE Integral Equation Method
[arXiv] 2025-11-17 | Impacts of Stratospheric Aerosol Injection on Renewable Energy Systems
[arXiv] 2025-11-17 | An Unusual Velocity Field in a Sunspot Penumbra
[arXiv] 2025-11-17 | Cognitive Maps in Language Models: A Mechanistic Analysis of Spatial Planning
[arXiv] 2025-11-17 | Unifying points of interest taxonomies: mapping OpenStreetMap tags to the Foursquare category system
[arXiv] 2025-11-17 | Donors and Recipients: On Asymmetric Transfer Across Tasks and Languages with Parameter-Efficient Fine-Tuning
[arXiv] 2025-11-17 | InfoDecom: Decomposing Information for Defending against Privacy Leakage in Split Inference
[arXiv] 2025-11-17 | An Automated Framework for Analyzing Structural Evolution in On-the-fly Non-adiabatic Molecular Dynamics Using Autoencoder and Multiple Molecular Descriptors
[arXiv] 2025-11-17 | Event-triggered Dual Gradient Tracking for Distributed Resource Allocation
[arXiv] 2025-11-17 | The Intrinsic Angular - Momentum of Particles and the Resolution of the Spin-Statistics Theorem
[arXiv] 2025-11-17 | Reasoning Shapes Alignment: Investigating Cultural Alignment in Large Reasoning Models with Cultural Norms
[arXiv] 2025-11-17 | Model-Based Assessment of__the__Cruising Traffic and Environmental Impact of__Parking Restrictions
[arXiv] 2025-11-17 | Nontrivial flat bands and quantum Hall crossovers in square-octagon lattice materials
[arXiv] 2025-11-17 | Stray Light Correction for the Helioseismic and Magnetic Imager
[arXiv] 2025-11-17 | Projection-based DMRG-in-DFT embedding corrected by non-additive exchange-correlation
[arXiv] 2025-11-17 | Tab-PET: Graph-Based Positional Encodings for Tabular Transformers
[arXiv] 2025-11-17 | AutoMalDesc: Large-Scale Script Analysis for Cyber Threat Research
[arXiv] 2025-11-17 | HPC-Accelerated Simulation and Calibration for Silicon Quantum Dots
[arXiv] 2025-11-17 | Foreground removal in HI 21 cm intensity mapping under frequency-dependent beam distortions
[arXiv] 2025-11-17 | Explainable RL Policies by Distilling to Locally-Specialized Linear Policies with Voronoi State Partitioning
[arXiv] 2025-11-17 | Mosco-convergence of Cheeger energies on varying spaces satisfying curvature dimension conditions
[arXiv] 2025-11-17 | Distributed Hierarchical Machine Learning for Joint Resource Allocation and Slice Selection in In-Network Edge Systems
[arXiv] 2025-11-17 | Switching rates in Kerr resonator with two-photon dissipation and driving
[arXiv] 2025-11-17 | The free Banach $f$-algebra generated by a Banach space
[arXiv] 2025-11-17 | A Family of Eight-Point Conics Associated with the Cyclic Quadrilateral
[arXiv] 2025-11-17 | CorrectAD: A Self-Correcting Agentic System to Improve End-to-end Planning in Autonomous Driving
[arXiv] 2025-11-17 | Spark-Prover-X1: Formal Theorem Proving Through Diverse Data Training
[arXiv] 2025-11-17 | APP: A* Post-Processing Algorithm for Robots with Bidirectional Shortcut and Path Perturbation
[arXiv] 2025-11-17 | On the Hierarchical Bayes justification of Empirical Bayes Confidence Intervals
[arXiv] 2025-11-17 | Scaling Generative Verifiers For Natural Language Mathematical Proof Verification And Selection
[arXiv] 2025-11-17 | Helical Magnetic Field in the Acceleration--Collimation Zone of the M87 Jet
[arXiv] 2025-11-17 | A Study of $T_{cc}(3875)^+$ Nature : Compact v.s. Molecule
[arXiv] 2025-11-17 | Semantic Prioritization in Visual Counterfactual Explanations with Weighted Segmentation and Auto-Adaptive Region Selection
[arXiv] 2025-11-17 | Reuse, Don't Recompute: Efficient Large Reasoning Model Inference via Memory Orchestration
[arXiv] 2025-11-17 | The Grain Family of Stream Ciphers: an Abstraction, Strengthening of Components and New Concrete Instantiations
[arXiv] 2025-11-17 | An amended Ehrenfest theorem for the Gross-Pitaevskii equation in one- and two-dimensional potential boxes
[arXiv] 2025-11-17 | Concept Regions Matter: Benchmarking CLIP with a New Cluster-Importance Approach
[arXiv] 2025-11-17 | GrOCE:Graph-Guided Online Concept Erasure for Text-to-Image Diffusion Models
[arXiv] 2025-11-17 | Boundedness of Forelli-Rudin Type Operators on Tubular Domains over The Generalized Light Cones
[arXiv] 2025-11-17 | MedRule-KG: A Knowledge-Graph--Steered Scaffold for Reliable Mathematical and Biomedical Reasoning
[arXiv] 2025-11-17 | Global Cross-Time Attention Fusion for Enhanced Solar Flare Prediction from Multivariate Time Series
[arXiv] 2025-11-17 | Vanishing viscosity limit of the 2D stationary Navier-Stokes equations outside a rotating disc and its application
[arXiv] 2025-11-17 | Improved Bounds for the s-multiplicity
[arXiv] 2025-11-17 | Twin Primes and Weighted Sieve Integrals: An Analytic Resolution
[arXiv] 2025-11-17 | ProtoAnomalyNCD: Prototype Learning for Multi-class Novel Anomaly Discovery in Industrial Scenarios
[arXiv] 2025-11-17 | Neo: Real-Time On-Device 3D Gaussian Splatting with Reuse-and-Update Sorting Acceleration
[arXiv] 2025-11-17 | SN 2016iog: A fast declining Type II-L supernova with an ultra-faint tail, persistently interacting with circumstellar material
[arXiv] 2025-11-17 | Dual-Mode Asymmetric Transmission based on Asymmetric and Orthogonal Gratings: Polarization-Dependent and -Independent Modes
[arXiv] 2025-11-17 | Generative Photographic Control for Scene-Consistent Video Cinematic Editing
[arXiv] 2025-11-17 | Fault2Flow: An AlphaEvolve-Optimized Human-in-the-Loop Multi-Agent System for Fault-to-Workflow Automation
[arXiv] 2025-11-17 | Enhanced Superconductivity at Quantum-Critical KTaO3 Interfaces
[arXiv] 2025-11-17 | Redshifting the Cosmological Constant in Unimodular Gravity via Nonlinear Quantum Mechanics
[arXiv] 2025-11-17 | Green Emergency Communications in RIS- and MA-Assisted Multi-UAV SAGINs: A Partially Observable Reinforcement Learning Approach
[arXiv] 2025-11-17 | Classification of Hope in Textual Data using Transformer-Based Models
[arXiv] 2025-11-17 | On the Fundamental Limits of LLMs at Scale
[arXiv] 2025-11-17 | Bootstrapping LLMs via Preference-Based Policy Optimization
[arXiv] 2025-11-17 | Axial charges and magnetic moments of the decuplet pentaquark family
[arXiv] 2025-11-17 | Indirect Coflow Scheduling
[arXiv] 2025-11-17 | BrainNormalizer: Anatomy-Informed Pseudo-Healthy Brain Reconstruction from Tumor MRI via Edge-Guided ControlNet
[arXiv] 2025-11-17 | NeuroLex: A Lightweight Domain Language Model for EEG Report Understanding and Generation
[arXiv] 2025-11-17 | Strongly exposed points in Orlicz-Lorentz spaces equipped with the Orlicz norm
[arXiv] 2025-11-17 | Structured Imitation Learning of Interactive Policies through Inverse Games
[arXiv] 2025-11-17 | SoK: Synthesizing Smart Home Privacy Protection Mechanisms Across Academic Proposals and Commercial Documentations
[arXiv] 2025-11-17 | Instability and breaking of internal waves in a horizontal shear layer
[arXiv] 2025-11-17 | Spectroscopic signatures of emergent elementary excitations in a kinetically constrained long-range interacting two-dimensional spin system
[arXiv] 2025-11-17 | Recognition of Abnormal Events in Surveillance Videos using Weakly Supervised Dual-Encoder Models
[arXiv] 2025-11-17 | Why Do the Elderly Save? Using Health Shocks to Uncover Bequests Motives
[arXiv] 2025-11-17 | KForge: Program Synthesis for Diverse AI Hardware Accelerators
[arXiv] 2025-11-17 | Homological shifts of a complementary edge ideal
[arXiv] 2025-11-17 | Antisymmetric Mueller Generator as the Universal Origin of Geometric Phase in Classical Polarization and Quantum Two-Level Systems
[arXiv] 2025-11-17 | SymGS : Leveraging Local Symmetries for 3D Gaussian Splatting Compression
[arXiv] 2025-11-17 | Case study of a differentiable heterogeneous multiphysics solver for a nuclear fusion application
[arXiv] 2025-11-17 | GeoX-Bench: Benchmarking Cross-View Geo-Localization and Pose Estimation Capabilities of Large Multimodal Models
[arXiv] 2025-11-17 | Edge-aware baselines for ogbn-proteins in PyTorch Geometric: species-wise normalization, post-hoc calibration, and cost-accuracy trade-offs
[arXiv] 2025-11-17 | Force-Aware 3D Contact Modeling for Stable Grasp Generation
[arXiv] 2025-11-17 | Uncovering and Mitigating Transient Blindness in Multimodal Model Editing
[arXiv] 2025-11-17 | Computational Measurement of Political Positions: A Review of Text-Based Ideal Point Estimation Algorithms
[arXiv] 2025-11-17 | Counterfactual Explainable AI (XAI) Method for Deep Learning-Based Multivariate Time Series Classification
[arXiv] 2025-11-17 | Tetragonal modular quotients of $X_0(N)$
[arXiv] 2025-11-17 | Modeling group heterogeneity in spatio-temporal data via physics-informed semiparametric regression
[arXiv] 2025-11-17 | Asymptotic confidence bands for centered purely random forests
[arXiv] 2025-11-17 | Autonomous Sensing UAV for Accurate Multi-User Identification and Localization in Cellular Networks
[arXiv] 2025-11-17 | Local Collaborative Filtering: A Collaborative Filtering Method that Utilizes Local Similarities among Users
