[2025-12-07 09:09:03] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-06
正在获取论文...
[ACM] 2025-12-6 | Are Your LLM-based Text-to-SQL Models Secure? Exploring SQL Injection via Backdoor Attacks
                    Spatial Decomposition-Enhanced Database Tuning via LLM-Guided Exploration
[ACM] 2025-12-6 | WaveStitch: Flexible and Fast Conditional Time Series Generation With Diffusion Models
[ACM] 2025-12-6 | PENFORMER: Identifying Signature Truth with Log Normal Aided Multimodal Transformer
[ACM] 2025-12-6 | Dynamic Text-guided Multi-task Transformer for Multi-modal Sentiment Analysis
[ACM] 2025-12-6 | Interactive Educational System Using Artificial Intelligence Technique for the Higher Education System
[ACM] 2025-12-6 | A Triad Evaluation Framework for Human vs. Machine Translation Quality in Museum Heritage Dissemination
[ACM] 2025-12-6 | A new dataset and method for comprehensive evaluation of visual design elements in educational slides
[ACM] 2025-12-6 | FALU: A Proactive Deepfake Detection Scheme Based on Average Hashing and Mamba-Like Linear Attention U-Net
[ACM] 2025-12-6 | FabasedVC: Enhancing Voice Conversion with Text Modality Fusion and Phoneme-Level SSL Features
[ACM] 2025-12-6 | DCN: Decoupled-Coupled Network for Text-based Person Search
[ACM] 2025-12-6 | Intrinsic Feature Rectification: Mitigating RAG Dependency by Addressing Information Loss in Image Captioning
[ACM] 2025-12-6 | Theoretically and Practically Efficient Maximum Biclique Search
[ACM] 2025-12-6 | Research on the Educational Innovation System Empowering the Construction of “Beautiful Sichuan” with Ethnic Ecological Culture
[ACM] 2025-12-6 | Guài: Generative Myths of Machine Perception
[ACM] 2025-12-6 | An AI-Enhanced Dynamic Assessment Framework for Blended Learning: Algorithm Design and Optimization in College English Teaching
[ACM] 2025-12-6 | Structural Equation Modeling of AI Tool Use and Chinese Language Habits
[ACM] 2025-12-6 | Algorithm Optimization and Implementation of Intelligent Scoring System for College English Translation
[ACM] 2025-12-6 | Enhancing Career Decision-Making Self-Efficacy Through Blended Learning: An Integrated Course Design with Random Forest Regression Algorithm
[ACM] 2025-12-6 | SAAB: Enhancing Action Segmentation via Spatial Attention Pooling and Action-Background Classifier
[ACM] 2025-12-6 | Breaking Distributional Assumptions in Multi-view Learning: Test-Time Adaptive Fusion via Conformalized Evidence Representation
[ACM] 2025-12-6 | Inter-Patient Arrhythmia Classification via Cloud-Edge-End Multimedia Architecture
[ACM] 2025-12-6 | Towards Better Detection in the Rain: A Task-Driven Deraining Framework with Semantic Guidance
[ACM] 2025-12-6 | Global Question-Aware Multimodal Retrieval-Augmented Generation for Multimedia Multi-Hop Question Answering
[ACM] 2025-12-6 | Edge-Computing Thermal Object Detection with Homography-Augmented Data for Night Navigation
[ACM] 2025-12-6 | Pla-tsugi: Terrain as Fracture
[ACM] 2025-12-6 | CharCom: Composable Identity Control for Multi-Character Story Illustration
[ACM] 2025-12-6 | Single Image Dehazing Network Based on Depth-Guided Sparse Attention
[ACM] 2025-12-6 | KeyRegionPose: Region-Aware Feature Interaction and Multi-Scale Token Pruning for Efficient Human Pose Estimation
[ACM] 2025-12-6 | Understanding and Detecting Query Performance Regression in Practical Index Tuning: [Experiments &amp; Analysis]
[ACM] 2025-12-6 | Regular Expression Indexing for Log Analysis
[ACM] 2025-12-6 | Research on the Application of Decision Tree Algorithm in Public Physical Education Practice Teaching
[ACM] 2025-12-6 | Research on Personalised Learning Resource Recommendation Method Based on Graph Convolution
[ACM] 2025-12-6 | A General Framework for Per-record Differential Privacy
[ACM] 2025-12-6 | PrivAGS: Differentially Private Attributed Graph Synthesis
[ACM] 2025-12-6 | Research on the Application of Machine Learning Technology in the Quality Assessment of Standardized Talent Cultivation in Vocational Education
[ACM] 2025-12-6 | The Strategic Decision-making Logic of Education Entrepreneurs in Digital Transformation
[ACM] 2025-12-6 | Cloth-Changing Person Re-identification with Human Keypoint Prediction
[ACM] 2025-12-6 | Pseudo-Partial Label Helps: A Simple Way to Mitigate Pseudo-Label Noise in Source-Free Domain Adaptation
[ACM] 2025-12-6 | Bi-affine Semantic Fusion Generative Adversarial Networks for Text-to-Image Synthesis
[ACM] 2025-12-6 | DAG of DAGs: Order-Fairness Made Practical
[ACM] 2025-12-6 | Beyond Vector Search: Querying With and Without Predicates
[ACM] 2025-12-6 | Counting Is All You Need for Instant Tuple Discovery: Enabling Real-Time HTAP in Standalone DBMSs
[ACM] 2025-12-6 | AixelNet: A Pre-trained Model with Table-aware Adaptation for Structured Data Prediction
[ACM] 2025-12-6 | Interdisciplinary Knowledge Graph-Driven STEM Teacher Assistant Agent: Model Construction and Evaluation
[ACM] 2025-12-6 | How Much To Guide: Revisiting Adaptive Guidance in Classifier-Free Guidance Text-to-Vision Diffusion Models
[ACM] 2025-12-6 | Learning Content-enhanced Tokens for Domain Generalized Semantic Segmentation
[ACM] 2025-12-6 | MS²G-Net: A Multi-Scale and Multi-Structural Guided Network for Information-Preserving Restoration of Ancient Murals
[ACM] 2025-12-6 | Time Step Generating: A Universal Synthesized Deepfake Image Detector
[ACM] 2025-12-6 | Learn Concepts from Multi-Scale Visual Information for Compositional Zero-Shot Learning
[ACM] 2025-12-6 | Cloud Scripts
[ACM] 2025-12-6 | Machine Dreaming
[ACM] 2025-12-6 | Proceedings of the 2025 International Conference on AI-enabled Education
[ACM] 2025-12-6 | Polarization Distribution: The Phased Regional Distribution Pattern of Artificial Intelligence Innovation Resources in Universities
[ACM] 2025-12-6 | Frequency-Enhanced Multi-Modal Consistency Learning for Audio-Visual Deepfake Detection
[ACM] 2025-12-6 | Test-time Filtering Boosts Training-free Zero-shot Composed Image Retrieval
[ACM] 2025-12-6 | A Visual Speech Language Model for Visual Text-to-Speech Task
[ACM] 2025-12-6 | Enhancing Low-Light Object Detection with Zero-Shot Dual-Branch Illumination-Invariant Network
[ACM] 2025-12-6 | You Can Generate It Again: Data-to-Text Generation with Verification and Correction Prompting
[ACM] 2025-12-6 | UniStream: Unifying In-Network Video Processing and Caching for Cost-Optimal Edge-Cloud Video Streaming
[ACM] 2025-12-6 | MM-HRIViT: Early Behavior Prediction for HRI using mmWave Radar and a Vision Transformer
[ACM] 2025-12-6 | Triangle Counting in Hypergraph Streams: A Complete and Practical Approach
[ACM] 2025-12-6 | NeuSO: Neural Optimizer for Subgraph Queries
[ACM] 2025-12-6 | GraphMatch: Subgraph Query Processing on Steroids
[ACM] 2025-12-6 | CCANet : A Cognition-Inspired Framework for Few-Shot Segmentation from Category-Agnostic to Category-Aware
[ACM] 2025-12-6 | Robust speech emotion recognition using conditional transformer-based architecture
[ACM] 2025-12-6 | An Interactive Drawing Assistant Harmonizing User Control and Creative Freedom in Image Generation
[ACM] 2025-12-6 | Time-IC: Empowering MLLM with Interleaved Context for Temporal-Sensitive Video Understanding
[ACM] 2025-12-6 | Joint Fine-grained Disentanglement and Modal-agnostic Fusion Multi-task Framework for Multimodal Sentiment Analysis
[ACM] 2025-12-6 | Benchmarking Differentially Private Tabular Data Synthesis: [Experiments &amp; Analysis]
[ACM] 2025-12-6 | LSM-Raft: Optimizing Raft for LSM-tree Store
[ACM] 2025-12-6 | Enhancing Critical Thinking: Interactive Cognitive Offload Instruction with Generative AI In English Essay Writing
[ACM] 2025-12-6 | Experiences and Insights Gained from AI-Assisted Programming Instruction in Higher Education
[ACM] 2025-12-6 | A study on the influence of teacher autonomy support on students' preferences for courses: based on the perspectives of machine learning and Quasi-Experimental Designs
[ACM] 2025-12-6 | Retrieve-and-Verify: A Table Context Selection Framework for Accurate Column Annotations
[ACM] 2025-12-6 | Teachers’ Digital Literacy in Computer Technology Integration: Comparative Insights, AI Implications, and Practical Implementation Pathways
[ACM] 2025-12-6 | AixelAsk: A Stepwise-Guided Retrieval and Reasoning Framework for Large Table QA
[ACM] 2025-12-6 | SplineSketch: Even More Accurate Quantiles with Error Guarantees
[ACM] 2025-12-6 | Co-Designer: A Human-AI Collaborative Framework for Deriving Physical Product Concept Design Opportunities from User-Generated Content(UGC) in Manufacturing
[ACM] 2025-12-6 | Mixture of Group Experts for Learning Invariant Representations
[ACM] 2025-12-6 | From Feature Alignment to Multimodal Fusion: A Two-Stage Primary Modality-Guided Approach for MSA
[ACM] 2025-12-6 | From Suspicious Errors to Valid Data: On Repairing Spatio-Temporal Data via Spatial and Temporal Dependencies
[ACM] 2025-12-6 | Accelerating High-Dimensional ANN Search via Skipping Redundant Distance Computations
[ACM] 2025-12-6 | PLForge: Enhancing Language Models for Natural Language to Procedural Extensions of SQL
[ACM] 2025-12-6 | Design and Application Research of Intangible Cultural Heritage Sports Projects Enabled by Digital Intelligence Empowered Sports Tourism APP
[ACM] 2025-12-6 | Research on Ideological and Political Education Effect Evaluation Model Based on Multimodal Data Fusion and Attention Mechanism
[ACM] 2025-12-6 | Adaptive Prompt Generation Using ChatGPT as Cognitive Scaffolding for Improving Spanish as a Foreign Language (ELE) Writing
[ACM] 2025-12-6 | Exploring the Subjective Initiative Paradigm in the Design of a Blended Elastic Learning Environment for Smart Courses
[ACM] 2025-12-6 | Reform and Pathways of Legal Education in the “AI+” Era Using Random Forest Modeling
[ACM] 2025-12-6 | Omnidirectional Spatial Modeling from Correlated Panoramas
[ACM] 2025-12-6 | Adaptive Image Acquisition Algorithms for Resource-Constrained Single-Photon Cameras
[ACM] 2025-12-6 | TRIM: Accelerating High-Dimensional Vector Similarity Search with Enhanced Triangle-Inequality-Based Pruning
[ACM] 2025-12-6 | Efficient Size-Bounded Community Search, Revisited: Frameworks for Practical Improvements
[ACM] 2025-12-6 | Reliable and Private Utility Signaling for Data Markets
[ACM] 2025-12-6 | Secret Communication System and Cola Tablets
[ACM] 2025-12-6 | Passengers
[ACM] 2025-12-6 | A Comprehensive Survey of Subgraph Matching: [Experiments &amp; Analysis]
[ACM] 2025-12-6 | Q-Adapter: Visual Query Adapter for Extracting Textually-related Features in Video Captioning
[ACM] 2025-12-6 | Fourier-based Dual-level Perturbation for Single Domain Generalized Object Detection
[ACM] 2025-12-6 | Wandering and feeling the Scenes: Body-Aware Diffusion for 3D Human Motion Generation
[ACM] 2025-12-6 | Rethinking Misalignment in Virtual Staining: A Preliminary Study on Using STN-Guided Supervision at Training Time to Improve H&amp;E-to-IHC Translation
[ACM] 2025-12-6 | Uni-IL: Unified Incremental Learning of Vision-Language Models via Mixture of Attribute-Guided Experts
[ACM] 2025-12-6 | Adaptive Inter-Modality Attention for Enhanced Cross-Domain Deepfake Detection Transferability
[ACM] 2025-12-6 | Automated Fine-Scale Change Detection Using 3D Gaussian Splatting and VLMs
[ACM] 2025-12-6 | Fusion-Augmented Deep Multi-view Clustering via Contrastive View Expansion
[ACM] 2025-12-6 | EmoSEM: Segment and Explain Emotion Stimuli in Visual Art
[ACM] 2025-12-6 | Design and Implementation of Python-based Intelligent Matching Algorithm for Sustainable Development Education Resources
[ACM] 2025-12-6 | Research on Teaching Reform of Film and Television Music Courses Based on Knowledge Graph
[ACM] 2025-12-6 | N2E: A General Framework to Reduce Node-Differential Privacy to Edge-Differential Privacy for Graph Analytics
[ACM] 2025-12-6 | Efficient and Scalable Directed Densest Subgraph Discovery
[ACM] 2025-12-6 | Cleaning Time Series under Seasonal and Trend Constraints
[ACM] 2025-12-6 | P4KVS: A Role-Replica Separation Offloading Method to Achieve In-Network Consistency for KV Stores Based on P4 Switches
[ACM] 2025-12-6 | UniCP: A Unified Caching and Pruning Framework for Efficient Video Generation
[ACM] 2025-12-6 | KuzushijiGen: A Real-Time Few-Shot Japanese Kuzushiji Generator via Differentiable Rendering
[ACM] 2025-12-6 | PMCMatcher: A Parallel Multi-Scale Cascaded Transformer-Based Network for Multimodal Feature Matching
[ACM] 2025-12-6 | A Multi-Agent Framework for Fine-Grained Multimodal Named Entity Recognition through Check and Reasoning
[ACM] 2025-12-6 | STCGen:Sketch-based Text-to-Clothing Image Generation with Contour and Style Consistency
[ACM] 2025-12-6 | IFFN: Irrelevant Frames Filtering Network for Online Action Detection
[ACM] 2025-12-6 | A Dialogue with the Sand
[ACM] 2025-12-6 | Efficient Exact Resistance Distance Computation on Small-Treewidth Graphs: A Labelling Approach
[ACM] 2025-12-6 | TQEx: Tensor-based Query Engine Enhanced by Bridging the Gap
[ACM] 2025-12-6 | Reliable Answers for Recurring Questions: Boosting Text-to-SQL Accuracy with Template Constrained Decoding
[ACM] 2025-12-6 | Budgeted Strong Community Search in Heterogeneous Graphs
[ACM] 2025-12-6 | Effective Clustering for Large Multi-Relational Graphs
[ACM] 2025-12-6 | A Novel Engineering-Oriented Course Evaluation Framework Based on Knowledge Graphs and Market-Driven Analysis
[ACM] 2025-12-6 | Exploring Public Perceptions of Generative AI in Education with BERTopic-based Topic Modelling and LLM-driven Sentiment Analysis
[ACM] 2025-12-6 | Investigating the Impact of Blended Ideological-Political Teaching on College Students’ Professionalism via Linear Regression Analysis
[ACM] 2025-12-6 | Research on teaching effect prediction and evaluation system of ideological and political courses combining artificial intelligence and big data technology
[ACM] 2025-12-6 | VibeMus: Proactive Agentic System for Music Personalization
[ACM] 2025-12-6 | FCLHet: Spatiotemporal Knowledge Continual Learning for Federated Heterogeneous Models
[ACM] 2025-12-6 | A Unified Framework for the Convergence and Weight Pruning in Federated Learning
[ACM] 2025-12-6 | Stochastic Submodular Data Forgetting
[ACM] 2025-12-6 | SuPACape: Graph-based Category-Agnostic Pose Estimation with Super-Category and Pose Adaptivity
[ACM] 2025-12-6 | Leveraging Pseudo-triplet and Flexible Prompt for Zero-shot Composed Image Retrieval
[ACM] 2025-12-6 | DynaPlane-Lane: Dynamic Multi-Plane Geometry Learning for Robust Monocular 3D Lane Detection
[ACM] 2025-12-6 | OF-NeRF: A Subjective Benchmark of Perceptual Quality Assessment for Outward-Facing NeRF Scenes with Multiple Distortions and Diverse Viewing Trajectories
[ACM] 2025-12-6 | Ora-NSC: A Novel Semi-supervised Approach for Oracle Bone Fragment Classification with Imbalanced Classes
[ACM] 2025-12-6 | A Unified Ensemble Clustering Framework via Higher-Order Graph Diffusion and Feedback-Based Refinement
[ACM] 2025-12-6 | Position-Enhanced Gradient Attack (PEGA) on Medical Language Models
[ACM] 2025-12-6 | CARD: Control-Driven Autoregressive Reconstruction with Decoupled Learning for Multi-Class Anomaly Detection
[ACM] 2025-12-6 | Research on AI-Empowered Models for Cultivating Students' Critical Thinking Skills
[ACM] 2025-12-6 | Building Stateless Serverless Vector DBs via Block-based Data Partitioning
[ACM] 2025-12-6 | Fast Optimal Group Steiner Tree Search using GPUs
[ACM] 2025-12-6 | Research on the Practice of College English Teaching Reform Based on Digital Intelligence Teaching Model
[ACM] 2025-12-6 | Research on the Teaching Evaluation Reform of the Programming Course in Higher Vocational Colleges Enabled by Artificial Intelligence
[ACM] 2025-12-6 | AI-Driven Outcome-Based Education for Complex Problem-Solving: Technical Framework and Practical Exploration of Micro-Course Clusters
[ACM] 2025-12-6 | IDiffPose: Equilibrium Substitution for Lightweight Diffusion-Graph-Based Pose Estimation
[ACM] 2025-12-6 | Sequence-augmented Conversational Recommendation System Based on Diffusion Models for Personalized Cultural Exploration
[ACM] 2025-12-6 | MoCA: Identity-Preserving Text-to-Video Generation via Mixture of Cross Attention
[ACM] 2025-12-6 | APGNet: Adaptive Prior-Guided for Underwater Camouflaged Object Detection
[ACM] 2025-12-6 | Focus! Fast On-disk Concurrency-control Using Sketches
[ACM] 2025-12-6 | PACMMOD V3, N6 (SIGMOD), December 2025: Editorial
[ACM] 2025-12-6 | Multi-Scale Attention Prediction and Multi-Path Fusion Attention For Compressed Video Quality Enhancement
[ACM] 2025-12-6 | DRF-Net: An Asymmetric Lightweight Network with a Dynamic Routing Fusion Bridge for Medical Image Segmentation
[ACM] 2025-12-6 | ReSSFormer: A Recursive Sparse Structured Transformer for Scalable and Long-Context Reasoning
[ACM] 2025-12-6 | Dynamic Routing between Multimodal Capsules for Deepfake Image Editing Detection
[ACM] 2025-12-6 | Thinking on the experimental teaching in electronic information education empowered by Large Language Model
[ACM] 2025-12-6 | WP-CMA: Waypoint Prediction for Cross-modal Alignment of Vision-and-Language Navigation in Continuous Environments
[ACM] 2025-12-6 | Guiding Task Choice in Japanese Voice Interfaces through Vocalization Cost: Click-based vs. Voice-based Selection
[ACM] 2025-12-6 | SAQ: Pushing the Limits of Vector Quantization through Code Adjustment and Dimension Segmentation
[ACM] 2025-12-6 | ST-Raptor: LLM-Powered Semi-Structured Table Question Answering
[ACM] 2025-12-6 | Test Data Generation for Complex SQL Queries
[ACM] 2025-12-6 | ChronoSelect: Robust Learning with Noisy Labels via Dynamics Temporal Memory
[ACM] 2025-12-6 | An Identity-Oriented System for Generated Human Video Detection
[ACM] 2025-12-6 | Design and Implementation of a Multi-Agent AI-Powered Learning Path Platform for Outcome-Based Engineering Education
[ACM] 2025-12-6 | Research on Digital Industrial Technology Empowering Collaborative Construction and Educational Management Innovation in Green Stadiums
[ACM] 2025-12-6 | Research on the Innovative Path of Empowering Ideological and Political Education in Universities with Artificial Intelligence
[ACM] 2025-12-6 | MAVIS: Materialized View for Subgraph Matching
[ACM] 2025-12-6 | Robust Dual Embedding Contrastive Learning for Text-to-Image Person Re-identification with Noisy Correspondence
[ACM] 2025-12-6 | NeurStore: Efficient In-database Deep Learning Model Management System
[ACM] 2025-12-6 | Diffusion-Driven 3D Gaussian Splatting for Occlusion-Free Egocentric Scene Reconstruction
[ACM] 2025-12-6 | CDFN: Credibility-Driven Fusion Network for Multimodal Sentiment Analysis
[ACM] 2025-12-6 | Archive For / In the Future
[ACM] 2025-12-6 | Cut Costs, Not Accuracy: LLM-Powered Data Processing with Guarantees
[ACM] 2025-12-6 | DepCache: A KV Cache Management Framework for GraphRAG with Dependency Attention
[ACM] 2025-12-6 | Spatial Momentum Networks: Physics-Guided Efficient Attention Fusion Method
[ACM] 2025-12-6 | Personality-Enhanced Multimodal Depression Detection in the Elderly
[ACM] 2025-12-6 | Artificial intelligence professional structure optimization method based on DEMATEL-ASIM
[ACM] 2025-12-6 | Generative Feedback for Code Learning: A Study on LLM-Driven Formative Assessment
[ACM] 2025-12-6 | Research on a Teaching Quality Analysis Algorithm Integrating Random Forest and Neural Network
[ACM] 2025-12-6 | MorphingDB: A Task-Centric AI-Native DBMS for Model Management and Inference
[ACM] 2025-12-6 | Attribute Filtering in Approximate Nearest Neighbor Search: An In-depth Experimental Study
[ACM] 2025-12-6 | Generative Tectonics: A Dialogue Between Code and Clay
[ACM] 2025-12-6 | Orbital Oscillation
[ACM] 2025-12-6 | Privacy-preserving and Verifiable Causal Prescriptive Analytics
[ACM] 2025-12-6 | Categorical Data Clustering via Value Order Estimated Distance Metric Learning
[ACM] 2025-12-6 | RESEARCH on campus APP tourism intelligent report generation based on multimodal learning
[ACM] 2025-12-6 | Federated Learning Data Processing Method Based on Knowledge Graph
[ACM] 2025-12-6 | Using Gagné's nine-stage teaching method to enhance the educational function of Traditional Chinese Medicine (TCM) games
[ACM] 2025-12-6 | An AI-Driven Teacher-Oriented Translation Assessment Method for College English Education
[ACM] 2025-12-6 | HyperEnhancerNet: Lightweight Speech Enhancement with Learnable Time-Frequency Resampling
[ACM] 2025-12-6 | Proceedings of the 7th ACM International Conference on Multimedia in Asia
[ACM] 2025-12-6 | CPR-CLIP: Cross-modal Consistent and Prompt-diverse Regularized CLIP for Action Recognition
[ACM] 2025-12-6 | <scp>Aegis:</scp>
                    A Correlation-Based Data Masking Advisor for Data Sharing Ecosystems
[ACM] 2025-12-6 | Enjima: A Resource-Adaptive Stream Processing System
[ACM] 2025-12-6 | Continuous Subgraph Matching via Cost-Model-based Dynamic Vertex Dominance Embeddings
[ACM] 2025-12-6 | DERM: Dynamic Evidence Reliability Modeling for Multimodal Rumor Detection
[ACM] 2025-12-6 | A Robust 3D CNN with Pyramidal Attention for Spatiotemporal Gait Recognition
[ACM] 2025-12-6 | Optimization and Application of Civil Engineering Practice Teaching Mode Based on VR/AR Technology
[ACM] 2025-12-6 | Construction and Evolutionary Analysis of Dynamic Event Logic Graphs for the Field of Ideological and Political Education
[ACM] 2025-12-6 | Research on AI-Empowered Pedagogical Implementation Methods for Data Structure
[ACM] 2025-12-6 | Visual Template Inference for Data Extraction from Documents
[ACM] 2025-12-6 | GraphTwin: Cache-Centric Bit-Level Graph Representation for Fast and Exact Graph Queries
[ACM] 2025-12-6 | Time-Critical Influence Minimization via Node Blocking
[ACM] 2025-12-6 | GAOT: Generating Articulated Objects Through Text-Guided Diffusion Models
[ACM] 2025-12-6 | Hydraulis: Balancing Large Transformer Model Training via Co-designing Parallel Strategies and Data Assignment
[ACM] 2025-12-6 | Can Large Language Models Be Query Optimizer for Relational Databases?
[ACM] 2025-12-6 | Construction and Research of “Machine Vision+” Course
[ACM] 2025-12-6 | The Practice of Blended Teaching Reform of University Information Technology Course Based on Intelligent Teaching Platform
[ACM] 2025-12-6 | Human-Machine Differences in Adolescent Emotional Support: A Comparative Study of Responses Between a Real Mother and Four AI Language Models
[ACM] 2025-12-6 | DreamSwap: Motion-Preserving Personalized Video Subject Swapping with Video Diffusion Models
[ACM] 2025-12-6 | VidCog: Empowering LLM with Long Video Understanding via Human-like Temporal Cognitive Loop
[ACM] 2025-12-6 | Unveiling Byzantine-robust with Varied Batch Sizes across Different Clients in Federated Learning
[ACM] 2025-12-6 | <scp>Drama</scp>
                    : Unifying Data Retrieval and Analysis for Open-Domain Analytic Queries
[ACM] 2025-12-6 | Accelerating Stream Processing Engines via Hardware Offloading
[ACM] 2025-12-6 | A Quasi-Experimental study on the use intention of TAM generative AI and the heterogeneity of college students' major types
[ACM] 2025-12-6 | AI-Enhanced Triadic Reciprocal Determinism: Innovations in Management Education
