[2025-12-10 15:34:53] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-09
正在获取论文...
[arXiv] 2025-12-09 | Identifying counterfactual probabilities using bivariate distributions and uplift modeling
[arXiv] 2025-12-09 | Milnor meets Hopf and Toeplitz at the K-theory of quantum projective planes
[arXiv] 2025-12-09 | Theoretical Studies of Sub-THz Active Split-Ring Resonators for Near-Field Imaging
[arXiv] 2025-12-09 | The Milky Way Imaging Scroll Painting Survey: Data Release 1
[arXiv] 2025-12-09 | Distilling Future Temporal Knowledge with Masked Feature Reconstruction for 3D Object Detection
[arXiv] 2025-12-09 | SPROCKET: Extending ROCKET to Distance-Based Time-Series Transformations With Prototypes
[arXiv] 2025-12-09 | Chopper: A Multi-Level GPU Characterization Tool & Derived Insights Into LLM Training Inefficiency
[arXiv] 2025-12-09 | Persistent Topological Structures and Cohomological Flows as a Mathematical Framework for Brain-Inspired Representation Learning
[arXiv] 2025-12-09 | New Monopoles in Non-Abelian Gauge Theories
[arXiv] 2025-12-09 | Semantic-Metric Bayesian Risk Fields: Learning Robot Safety from Human Videos with a VLM Prior
[arXiv] 2025-12-09 | The Head-on Collision of a Neutron Star with a White Dwarf
[arXiv] 2025-12-09 | ImmunoNX: a robust bioinformatics workflow to support personalized neoantigen vaccine trials
[arXiv] 2025-12-09 | Tumor-anchored deep feature random forests for out-of-distribution detection in lung cancer segmentation
[arXiv] 2025-12-09 | Secure or Suspect? Investigating Package Hallucinations of Shell Command in Original and Quantized LLMs
[arXiv] 2025-12-09 | MobileFineTuner: A Unified End-to-End Framework for Fine-Tuning LLMs on Mobile Phones
[arXiv] 2025-12-09 | Evaluating Vulnerabilities of Connected Vehicles Under Cyber Attacks by Attack-Defense Tree
[arXiv] 2025-12-09 | Spatially-extended Flow Phixer (SpeF-Phixer): A Spatially Extended $\varphi$-Mixing Framework for Gene Regulatory Causal Inference in Spatial Gene Field
[arXiv] 2025-12-09 | Regularity for fully nonlinear degenerate parabolic equations with strong absorption
[arXiv] 2025-12-09 | ClinicalTrialsHub: Bridging Registries and Literature for Comprehensive Clinical Trial Access
[arXiv] 2025-12-09 | Ground Slow, Move Fast: A Dual-System Foundation Model for Generalizable Vision-and-Language Navigation
[arXiv] 2025-12-09 | Distributional Random Forests for Complex Survey Designs on Reproducing Kernel Hilbert Spaces
[arXiv] 2025-12-09 | Robust procurement design
[arXiv] 2025-12-09 | needLR: Long-read structural variant annotation with population-scale frequency estimation
[arXiv] 2025-12-09 | RAVES-Calib: Robust, Accurate and Versatile Extrinsic Self Calibration Using Optimal Geometric Features
[arXiv] 2025-12-09 | Information-Dense Reasoning for Efficient and Auditable Security Alert Triage
[arXiv] 2025-12-09 | Conditions for Equivalence of Random Interlacements and Random Walk Reflected off of Infinity
[arXiv] 2025-12-09 | Accuracy Does Not Guarantee Human-Likeness in Monocular Depth Estimators
[arXiv] 2025-12-09 | Millimeter-Wave True-Time Delay Array Beamforming with Robustness to Mobility
[arXiv] 2025-12-09 | CVP: Central-Peripheral Vision-Inspired Multimodal Model for Spatial Reasoning
[arXiv] 2025-12-09 | Improvements to the NSO Farside Mapping Pipeline: Noise Reduction Updates
[arXiv] 2025-12-09 | Biothreat Benchmark Generation Framework for Evaluating Frontier AI Models I: The Task-Query Architecture
[arXiv] 2025-12-09 | Distribution of Gaps in Multi-lane Orderly and Disorderly Traffic Streams
[arXiv] 2025-12-09 | Measurement of Z$γ$ production in proton-proton collisions at $\sqrt{s}$ = 13.6 TeV and constraints on neutral triple gauge couplings
[arXiv] 2025-12-09 | Mind to Hand: Purposeful Robotic Control via Embodied Reasoning
[arXiv] 2025-12-09 | From Cells to Survival: Hierarchical Analysis of Cell Inter-Relations in Multiplex Microscopy for Lung Cancer Prognosis
[arXiv] 2025-12-09 | A Hybrid Model for Stock Market Forecasting: Integrating News Sentiment and Time Series Data with Graph Neural Networks
[arXiv] 2025-12-09 | Stability of $n$-soliton solutions for the Intermediate Long Wave equation
[arXiv] 2025-12-09 | Contextual Bandits and Reconfigurable Intelligent Surfaces for Predictive LTM Handover Decisions
[arXiv] 2025-12-09 | A scalable high-order multigrid-FFT Poisson solver for unbounded domains on adaptive multiresolution grids
[arXiv] 2025-12-09 | Tunable passive squeezing of squeezed light through unbalanced double homodyne detection
[arXiv] 2025-12-09 | Fast-ARDiff: An Entropy-informed Acceleration Framework for Continuous Space Autoregressive Generation
[arXiv] 2025-12-09 | On the existence of bound states in SIMP dark sectors
[arXiv] 2025-12-09 | A Lightweight Transfer Learning-Based State-of-Health Monitoring with Application to Lithium-ion Batteries in Unmanned Air Vehicles
[arXiv] 2025-12-09 | Thinking with Images via Self-Calling Agent
[arXiv] 2025-12-09 | Fused Gromov-Wasserstein Contrastive Learning for Effective Enzyme-Reaction Screening
[arXiv] 2025-12-09 | Beyond the Noise: Aligning Prompts with Latent Representations in Diffusion Models
[arXiv] 2025-12-09 | On iterated universal extensions and Nori's fundamental group of nilpotent bundles
[arXiv] 2025-12-09 | Autonomous Issue Resolver: Towards Zero-Touch Code Maintenance
[arXiv] 2025-12-09 | Team-Aware Football Player Tracking with SAM: An Appearance-Based Approach to Occlusion Recovery
[arXiv] 2025-12-09 | Quantization and Security Parameter Design for Overflow-Free Confidential FRIT
[arXiv] 2025-12-09 | Biothreat Benchmark Generation Framework for Evaluating Frontier AI Models III: Implementing the Bacterial Biothreat Benchmark (B3) Dataset
[arXiv] 2025-12-09 | An Overview of Sensitivity-Based Distributed Optimization and Model Predictive Control
[arXiv] 2025-12-09 | Uncertainty-Aware Subset Selection for Robust Visual Explainability under Distribution Shifts
[arXiv] 2025-12-09 | Mediating Personal Relationships with Robotic Pets for Fostering Human-Human Interaction of Older Adults
[arXiv] 2025-12-09 | Automatic Debiased Machine Learning of Structural Parameters with General Conditional Moments
[arXiv] 2025-12-09 | Universal recoverability of quantum states in tracial von-Neumann algebras
[arXiv] 2025-12-09 | Attention is All You Need to Defend Against Indirect Prompt Injection Attacks in LLMs
[arXiv] 2025-12-09 | Global Leray-Schauder continuation for Fredholm operators
[arXiv] 2025-12-09 | Are generative AI text annotations systematically biased?
[arXiv] 2025-12-09 | Sub-diffraction-resolved spatial distribution of emitting excitons in STM-induced luminescence of 2D semiconductors via Richardson-Lucy deconvolution
[arXiv] 2025-12-09 | Towards Visual Re-Identification of Fish using Fine-Grained Classification for Electronic Monitoring in Fisheries
[arXiv] 2025-12-09 | The Jordan canonical form of the Fréchet derivative of a matrix function
[arXiv] 2025-12-09 | Practical protein-pocket hydration-site prediction for drug discovery on a quantum computer
[arXiv] 2025-12-09 | Disorder-mediated linear and nonlinear magnetotransport in the charge-density-wave material ${\rm Ta_2NiSe_7 }$
[arXiv] 2025-12-09 | On Discrete Ambiguity Functions of Random Communication Waveforms
[arXiv] 2025-12-09 | Unified Diffusion Transformer for High-fidelity Text-Aware Image Restoration
[arXiv] 2025-12-09 | NeurIDA: Dynamic Modeling for Effective In-Database Analytics
[arXiv] 2025-12-09 | DeepFeature: Iterative Context-aware Feature Generation for Wearable Biosignals
[arXiv] 2025-12-09 | Programmable Open Quantum Systems
[arXiv] 2025-12-09 | Geometry-Aware Sparse Depth Sampling for High-Fidelity RGB-D Depth Completion in Robotic Systems
[arXiv] 2025-12-09 | Strong Mode Coupling via Quasi-Bound States in the Continuum in Bianisotropic Metasurfaces
[arXiv] 2025-12-09 | Gaussian approximation on the Skorokhod space via Malliavin calculus and regularization
[arXiv] 2025-12-09 | Effect of the Gradient of the Spin-Polarization in Density Functional Approximations
[arXiv] 2025-12-09 | LiDAS: Lighting-driven Dynamic Active Sensing for Nighttime Perception
[arXiv] 2025-12-09 | Self-lensing of moving gravitational-wave sources can break the microlensing crossing timescale degeneracy
[arXiv] 2025-12-09 | Toward Faithful Retrieval-Augmented Generation with Sparse Autoencoders
[arXiv] 2025-12-09 | Modelling and valuation of catastrophe bonds across multiple regions
[arXiv] 2025-12-09 | Multifractal behavior of price changes in the Green Bonds funds
[arXiv] 2025-12-09 | DAO-GP Drift Aware Online Non-Linear Regression Gaussian-Process
[arXiv] 2025-12-09 | SimpleDevQA: Benchmarking Large Language Models on Development Knowledge QA
[arXiv] 2025-12-09 | Low Energy Excitations of a 1D Fermi Gas with Attractive Interactions
[arXiv] 2025-12-09 | Tri-Bench: Stress-Testing VLM Reliability on Spatial Reasoning under Camera Tilt and Object Interference
[arXiv] 2025-12-09 | Partially Bayes p-values for large scale inference
[arXiv] 2025-12-09 | Orbital stability of kinks in the NLS equation with competing nonlinearities
[arXiv] 2025-12-09 | Interpolation in Knowledge Representation
[arXiv] 2025-12-09 | Prediction Intervals for Individual Treatment Effects in a Multiple Decision Point Framework using Conformal Inference
[arXiv] 2025-12-09 | CIEMAT-QI4X: a reactor-relevant quasi-isodynamic stellarator configuration compatible with an island divertor
[arXiv] 2025-12-09 | A search for successful and choked jets in nearby broad-lined Type Ic supernovae
[arXiv] 2025-12-09 | Clasped web bases from hourglass plabic graphs
[arXiv] 2025-12-09 | Norm Inflation For The Critical SQG Equation
[arXiv] 2025-12-09 | Ask, Answer, and Detect: Role-Playing LLMs for Personality Detection with Question-Conditioned Mixture-of-Experts
[arXiv] 2025-12-09 | VisKnow: Constructing Visual Knowledge Base for Object Understanding
[arXiv] 2025-12-09 | Photon Phase-Space Dynamics in a Plasma Wakefield Accelerator
[arXiv] 2025-12-09 | Transcript-based estimators for characterizing interactions
[arXiv] 2025-12-09 | Space-time discretization for barotropic flow stemming from a multisymplectic variational formulation
[arXiv] 2025-12-09 | An Efficient Secret Communication Scheme for the Bosonic Wiretap Channel
[arXiv] 2025-12-09 | Many interacting particles in solution. I. Screening-ranged expansions of electrostatic potential and energy
[arXiv] 2025-12-09 | Leading-twist gluon transverse momentum dependent distributions from large-momentum effective theory
[arXiv] 2025-12-09 | Explainable Learning Based Regularization of Inverse Problems
[arXiv] 2025-12-09 | A Scalable Pipeline Combining Procedural 3D Graphics and Guided Diffusion for Photorealistic Synthetic Training Data Generation in White Button Mushroom Segmentation
[arXiv] 2025-12-09 | Multi-domain performance analysis with scores tailored to user preferences
[arXiv] 2025-12-09 | A Sensor-Aware Phenomenological Framework for Lidar Degradation Simulation and SLAM Robustness Evaluation
[arXiv] 2025-12-09 | Operator Lanczos Approach enabling Neural Quantum States as Real-Frequency Impurity Solvers
[arXiv] 2025-12-09 | Parity erasure: a foundational principle for indefinite causal order
[arXiv] 2025-12-09 | RVC-NMPC: Nonlinear Model Predictive Control with Reciprocal Velocity Constraints for Mutual Collision Avoidance in Agile UAV Flight
[arXiv] 2025-12-09 | A fourth-order multi-scale computational method and its convergence analysis for composite Kirchhoff plates with microscopic periodic configurations
[arXiv] 2025-12-09 | Study of a small-scale gamma-ray detection system employing Compton scattering with a monolithic CeBr3 crystal and segmented photodetector array
[arXiv] 2025-12-09 | Automated Pollen Recognition in Optical and Holographic Microscopy Images
[arXiv] 2025-12-09 | Weighted $k$-Path and Other Problems in Almost $O^*(2^k)$ Deterministic Time via Dynamic Representative Sets
[arXiv] 2025-12-09 | Disturbance-Free Surgical Video Generation from Multi-Camera Shadowless Lamps for Open Surgery
[arXiv] 2025-12-09 | Measurement of the differential $t$-channel production cross-section of single top quarks and top antiquarks at $\sqrt{s} = $13 TeV with the ATLAS detector
[arXiv] 2025-12-09 | Matrix-free algorithms for fast ab initio calculations on distributed CPU architectures using finite-element discretization
[arXiv] 2025-12-09 | SSCATeR: Sparse Scatter-Based Convolution Algorithm with Temporal Data Recycling for Real-Time 3D Object Detection in LiDAR Point Clouds
[arXiv] 2025-12-09 | Mixed Hessian inequalities on Hermitian manifolds and applications
[arXiv] 2025-12-09 | Gamification with Purpose: What Learners Prefer to Motivate Their Learning
[arXiv] 2025-12-09 | Curriculum Guided Massive Multi Agent System Solving For Robust Long Horizon Tasks
[arXiv] 2025-12-09 | A Novel Wasserstein Quaternion Generative Adversarial Network for Color Image Generation
[arXiv] 2025-12-09 | Effect of thermal fluctuations on topological crossover in the chiral d+id superconducting phase
[arXiv] 2025-12-09 | Measuring the diffuse Galactic synchrotron spectral index and curvature between 45 and 2300 MHz
[arXiv] 2025-12-09 | Time-Averaged Template for Stochastic Gravitational-Wave Background Detection in Space-Based Interferometers
[arXiv] 2025-12-09 | SensHRPS: Sensing Comfortable Human-Robot Proxemics and Personal Space With Eye-Tracking
[arXiv] 2025-12-09 | Beyond Diagonal RIS-assisted MIMO Transmission: Beamforming Gain and Capacity Optimization
[arXiv] 2025-12-09 | Minimax and Bayes Optimal Adaptive Experimental Design for Treatment Choice
[arXiv] 2025-12-09 | Disrupting Hierarchical Reasoning: Adversarial Protection for Geographic Privacy in Multimodal Reasoning Models
[arXiv] 2025-12-09 | Radiation pressure instability: from heart-beat states in black hole binary systems to Quasars and Changing-Look AGN
[arXiv] 2025-12-09 | Careless Whispers: A population of sub-threshold post-merger gravitational waves constrains the hot nuclear equation of state
[arXiv] 2025-12-09 | Viscosity of $R^2$ Modified AdS Black Brane
[arXiv] 2025-12-09 | Relativistic MHD simulations of merging and collapsing stars and effects on GRB transient
[arXiv] 2025-12-09 | Single-Particle X-ray Scattering Reveals a High Local Supersaturation of Precursors as the Origin of CoO Assembly Formation
[arXiv] 2025-12-09 | Prospect Theory in Physical Human-Robot Interaction: A Pilot Study of Probability Perception
[arXiv] 2025-12-09 | Visionary: The World Model Carrier Built on WebGPU-Powered Gaussian Splatting Platform
[arXiv] 2025-12-09 | ContextDrag: Precise Drag-Based Image Editing via Context-Preserving Token Injection and Position-Consistent Attention
[arXiv] 2025-12-09 | A Multi-Agent LLM Framework for Design Space Exploration in Autonomous Driving Systems
[arXiv] 2025-12-09 | Solving Over-Smoothing in GNNs via Nonlocal Message Passing: Algebraic Smoothing and Depth Scalability
[arXiv] 2025-12-09 | Using reinforcement learning to probe the role of feedback in skill acquisition
[arXiv] 2025-12-09 | Elliptic functions, Floquet transform and Bergman spaces on doubly periodic domains
[arXiv] 2025-12-09 | Roth-type theorems in additive combinatroics
[arXiv] 2025-12-09 | Connectivity-Preserving Cortical Surface Tetrahedralization
[arXiv] 2025-12-09 | Beyond Wave Variables: A Data-Driven Ensemble Approach for Enhanced Teleoperation Transparency and Stability
[arXiv] 2025-12-09 | Trans-Arctic route feasibility on a pan-Arctic grid under bathymetric and sea-ice constraints
[arXiv] 2025-12-09 | A Grover-compatible manifold optimization algorithm for quantum search
[arXiv] 2025-12-09 | Optimal Operation and Valuation of Electricity Storages in Intraday Markets
[arXiv] 2025-12-09 | Improvement and Stabilization of Output Voltages in a Vertical Tidal Turbine Using Intelligent Control Strategies
[arXiv] 2025-12-09 | Photochemistry of interstellar ice forming Complex Organic Molecules
[arXiv] 2025-12-09 | DFALLM: Achieving Generalizable Multitask Deepfake Detection by Optimizing Audio LLM Components
[arXiv] 2025-12-09 | Rheological Parameter Identification in Granular Materials Using Physics-Informed Neural Networks
[arXiv] 2025-12-09 | An extended low-frequency noise compact model for single-layer graphene FETs including correlated mobility fluctuations effect
[arXiv] 2025-12-09 | Dielectric permittivity tensor dynamics of in-plane hyperbolic van der Waals MoOCl2 and emergent chiral photonic applications
[arXiv] 2025-12-09 | Simultaneous Enhancement and Noise Suppression under Complex Illumination Conditions
[arXiv] 2025-12-09 | A Characterization of Functional Affine Surface Areas
[arXiv] 2025-12-09 | The Unseen Bias: How Norm Discrepancy in Pre-Norm MLLMs Leads to Visual Information Loss
[arXiv] 2025-12-09 | Topological spin-up triplet excitonic condensation in two-dimensional electron-hole systems
[arXiv] 2025-12-09 | SCU-CGAN: Enhancing Fire Detection through Synthetic Fire Image Generation and Dataset Augmentation
[arXiv] 2025-12-09 | Impact of antiparticle degrees of freedom on neutrino flavor oscillations in frames of quantum field theory
[arXiv] 2025-12-09 | Conditional Morphogenesis: Emergent Generation of Structural Digits via Neural Cellular Automata
[arXiv] 2025-12-09 | TrackingWorld: World-centric Monocular 3D Tracking of Almost All Pixels
[arXiv] 2025-12-09 | Multiple cover formulas for abelian surfaces via correlated invariants
[arXiv] 2025-12-09 | Joint economic and epidemiological modelling of alternative pandemic response strategies
[arXiv] 2025-12-09 | The Cahill-Casazza-Daubechies problem on Hölder stable phase retrieval
[arXiv] 2025-12-09 | Delay-Oriented Distributed Scheduling with TransGNN
[arXiv] 2025-12-09 | Injection dynamics in spin-wave active ring oscillator (SWARO)
[arXiv] 2025-12-09 | Character Formulas for Kirillov-Reshetikhin Modules via Folding of Supercharacters of $\mathfrak{gl}(M|N)$
[arXiv] 2025-12-09 | Dynamical compatibility for finite and infinite population models used in genetics
[arXiv] 2025-12-09 | Evaluating the Deformation Measurement Accuracy Using Low-SNR Radars for Future InSAR Missions
[arXiv] 2025-12-09 | Adaptive Regularized Newton Method with Inexact Hessian
[arXiv] 2025-12-09 | Refining Visual Artifacts in Diffusion Models via Explainable AI-based Flaw Activation Maps
[arXiv] 2025-12-09 | Scaling Limits of a Weakly Perturbed Random Interface Model
[arXiv] 2025-12-09 | Triangular $J_1$-$J_2$ Heisenberg Antiferromagnet in a Magnetic Field
[arXiv] 2025-12-09 | Saturation-based robustly optimal hierarchical operation control of microgrids
[arXiv] 2025-12-09 | Adaptive cut reveals multiscale complexity in networks
[arXiv] 2025-12-09 | Deconstructing the Dual Black Box:A Plug-and-Play Cognitive Framework for Human-AI Collaborative Enhancement and Its Implications for AI Governance
[arXiv] 2025-12-09 | Neural Ordinary Differential Equations for Simulating Metabolic Pathway Dynamics from Time-Series Multiomics Data
[arXiv] 2025-12-09 | BPS Fivebrane Stars and BTZ Black Holes
[arXiv] 2025-12-09 | Thermal design of focal plane assembly of wavefront camera for exoplanet imaging corona module
[arXiv] 2025-12-09 | The frame-dragging vector potential on galaxy scales from DM-only Newtonian $N$-body simulations
[arXiv] 2025-12-09 | Scale-invariant and View-relational Representation Learning for Full Surround Monocular Depth
[arXiv] 2025-12-09 | Bootstrapping Noncommutative Geometry with Dirac Ensembles
[arXiv] 2025-12-09 | Multi-Agent Intelligence for Multidisciplinary Decision-Making in Gastrointestinal Oncology
[arXiv] 2025-12-09 | DS FedProxGrad: Asymptotic Stationarity Without Noise Floor in Fair Federated Learning
[arXiv] 2025-12-09 | Centrifugal instability of Taylor-Couette flow in stratified and diffusive fluids
[arXiv] 2025-12-09 | Spectroscopic readout of chiral photonic topology in a single-cavity spin-orbit-coupled Bose-Einstein condensate
[arXiv] 2025-12-09 | Fast free resolutions of bifiltered chain complexes
[arXiv] 2025-12-09 | Chain-of-Image Generation: Toward Monitorable and Controllable Image Generation
[arXiv] 2025-12-09 | Quantum Brownian Motion as a Classical Stochastic Process in Phase Space
[arXiv] 2025-12-09 | CogMCTS: A Novel Cognitive-Guided Monte Carlo Tree Search Framework for Iterative Heuristic Evolution with Large Language Models
[arXiv] 2025-12-09 | A constrained approximation theorem for integral functionals on $L^p$
[arXiv] 2025-12-09 | Enhancing Explainability of Graph Neural Networks Through Conceptual and Structural Analyses and Their Extensions
[arXiv] 2025-12-09 | DINO-BOLDNet: A DINOv3-Guided Multi-Slice Attention Network for T1-to-BOLD Generation
[arXiv] 2025-12-09 | Limit absorption and Green function estimates for matrix-valued periodic operators
[arXiv] 2025-12-09 | PointDico: Contrastive 3D Representation Learning Guided by Diffusion Models
[arXiv] 2025-12-09 | Collaborative Intelligence for UAV-Satellite Network Slicing: Towards a Joint QoS-Energy-Fairness MADRL Optimization
[arXiv] 2025-12-09 | Emulation of Complex Matrix Multiplication based on the Chinese Remainder Theorem
[arXiv] 2025-12-09 | Developing a Strong CPS Defender: An Evolutionary Approach
[arXiv] 2025-12-09 | Terrain Diffusion: A Diffusion-Based Successor to Perlin Noise in Infinite, Real-Time Terrain Generation
[arXiv] 2025-12-09 | Triality and adjoint lifting for GL(3)
[arXiv] 2025-12-09 | Quantum-classical correspondence in resonant and nonresonant Rabi-Stark model
[arXiv] 2025-12-09 | rSIM: Incentivizing Reasoning Capabilities of LLMs via Reinforced Strategy Injection
[arXiv] 2025-12-09 | Formation and Investigation of Cooperative Platooning at the Early Stage of Connected and Automated Vehicles Deployment
[arXiv] 2025-12-09 | OpenSubject: Leveraging Video-Derived Identity and Diversity Priors for Subject-driven Image Generation and Manipulation
[arXiv] 2025-12-09 | Rigid body kinematics in an intuitive group-theoretic approach, as completely as possible: Part I Rotational phenomena
[arXiv] 2025-12-09 | Model-Based Diffusion Sampling for Predictive Control in Offline Decision Making
[arXiv] 2025-12-09 | FedLAD: A Modular and Adaptive Testbed for Federated Log Anomaly Detection
[arXiv] 2025-12-09 | EgoX: Egocentric Video Generation from a Single Exocentric Video
[arXiv] 2025-12-09 | Token Sugar: Making Source Code Sweeter for LLMs through Token-Efficient Shorthand
[arXiv] 2025-12-09 | Geometry-Aligned Differential Privacy for Location-Safe Federated Radio Map Construction
[arXiv] 2025-12-09 | Perturbation-based Inference for Extreme Value Index
[arXiv] 2025-12-09 | Geometric-Stochastic Multimodal Deep Learning for Predictive Modeling of SUDEP and Stroke Vulnerability
[arXiv] 2025-12-09 | Wavelet-Accelerated Physics-Informed Quantum Neural Network for Multiscale Partial Differential Equations
[arXiv] 2025-12-09 | SFP: Real-World Scene Recovery Using Spatial and Frequency Priors
[arXiv] 2025-12-09 | The Impact of Irradiation on the Radius and Thermal Evolution of Transiting Brown Dwarfs
[arXiv] 2025-12-09 | Learning Spatiotemporal Tubes for Temporal Reach-Avoid-Stay Tasks using Physics-Informed Neural Networks
[arXiv] 2025-12-09 | Haagerup Symmetry in $(E_8)_1$?
[arXiv] 2025-12-09 | Frequency Locking to Environmental Forcing Suppresses Oscillatory Extinction in Phage-Bacteria Interactions
[arXiv] 2025-12-09 | Any Old Tom, Dick or Harry: The Citation Impact of First Name Genderedness
[arXiv] 2025-12-09 | Correction of Decoupled Weight Decay
[arXiv] 2025-12-09 | Restoring Network Evolution from Static Structure
[arXiv] 2025-12-09 | Duct boundary conditions for incompressible fluid flows: finite element discretizations and parameter estimation in coronary blood flow
[arXiv] 2025-12-09 | Primal-dual policy learning for mean-field stochastic LQR problem
[arXiv] 2025-12-09 | Error-Resilient Semantic Communication for Speech Transmission over Packet-Loss Networks
[arXiv] 2025-12-09 | First detection of X-ray polarization from the long-period X-ray pulsar 4U 1954+319
[arXiv] 2025-12-09 | $D$-dimensional aether charged black hole and aether waves in M-subset of Einstein-aether theory
[arXiv] 2025-12-09 | Efficient simulation framework for modeling collective emission in ensembles of inhomogeneous solid-state emitters
[arXiv] 2025-12-09 | Bayesian Semiparametric Mixture Cure (Frailty) Models
[arXiv] 2025-12-09 | Dual Smoothing for Decentralized Optimization
[arXiv] 2025-12-09 | LayerPipe2: Multistage Pipelining and Weight Recompute via Improved Exponential Moving Average for Training Neural Networks
[arXiv] 2025-12-09 | Adaptive Matched Filtering for Sensing With Communication Signals in Cluttered Environments
[arXiv] 2025-12-09 | Laser-assisted deposition of carbon nanotubes in optical fibers with multiparameter control
[arXiv] 2025-12-09 | TreeGRPO: Tree-Advantage GRPO for Online RL Post-Training of Diffusion Models
[arXiv] 2025-12-09 | Noise sensitivity on virtually abelian groups
[arXiv] 2025-12-09 | Adversarial Barrier in Uniform Class Separation
[arXiv] 2025-12-09 | Chat with UAV -- Human-UAV Interaction Based on Large Language Models
[arXiv] 2025-12-09 | Well-posedness of a novel Lagrange multiplier formulation for fluid-poroelastic interaction
[arXiv] 2025-12-09 | FlowSteer: Conditioning Flow Field for Consistent Image Restoration
[arXiv] 2025-12-09 | Universal Adversarial Suffixes Using Calibrated Gumbel-Softmax Relaxation
[arXiv] 2025-12-09 | vEDGAR -- Can CARLA Do HiL?
